iteration 100 | train acc/loss 0.230/2.190 | test acc/loss 0.219/2.182
iteration 200 | train acc/loss 0.300/1.887 | test acc/loss 0.301/1.958
iteration 300 | train acc/loss 0.320/1.804 | test acc/loss 0.321/1.888
iteration 400 | train acc/loss 0.335/1.791 | test acc/loss 0.341/1.841
iteration 500 | train acc/loss 0.390/1.728 | test acc/loss 0.373/1.770
iteration 600 | train acc/loss 0.470/1.618 | test acc/loss 0.384/1.730
iteration 700 | train acc/loss 0.395/1.582 | test acc/loss 0.395/1.701
iteration 800 | train acc/loss 0.370/1.698 | test acc/loss 0.415/1.665
iteration 900 | train acc/loss 0.410/1.539 | test acc/loss 0.410/1.648
iteration 1000 | train acc/loss 0.525/1.439 | test acc/loss 0.420/1.645
iteration 1100 | train acc/loss 0.500/1.512 | test acc/loss 0.426/1.640
iteration 1200 | train acc/loss 0.405/1.581 | test acc/loss 0.426/1.625
iteration 1300 | train acc/loss 0.455/1.558 | test acc/loss 0.424/1.656
iteration 1400 | train acc/loss 0.405/1.553 | test acc/loss 0.427/1.636
iteration 1500 | train acc/loss 0.385/1.572 | test acc/loss 0.447/1.593
