iteration 100 | train acc/loss 0.340/18.545 | test acc/loss 0.331/19.174
iteration 200 | train acc/loss 0.350/9.447 | test acc/loss 0.355/9.607
iteration 300 | train acc/loss 0.375/4.940 | test acc/loss 0.366/4.964
iteration 400 | train acc/loss 0.490/1.872 | test acc/loss 0.386/2.241
iteration 500 | train acc/loss 0.465/1.559 | test acc/loss 0.426/1.833
iteration 600 | train acc/loss 0.560/1.470 | test acc/loss 0.430/1.778
iteration 700 | train acc/loss 0.465/1.681 | test acc/loss 0.445/1.692
iteration 800 | train acc/loss 0.530/1.447 | test acc/loss 0.447/1.654
iteration 900 | train acc/loss 0.550/1.348 | test acc/loss 0.447/1.647
iteration 1000 | train acc/loss 0.495/1.520 | test acc/loss 0.415/1.873
iteration 1100 | train acc/loss 0.535/1.413 | test acc/loss 0.440/1.736
iteration 1200 | train acc/loss 0.460/1.602 | test acc/loss 0.440/1.686
iteration 1300 | train acc/loss 0.480/1.621 | test acc/loss 0.424/1.844
iteration 1400 | train acc/loss 0.460/1.680 | test acc/loss 0.426/1.799
iteration 1500 | train acc/loss 0.445/1.691 | test acc/loss 0.420/1.855
